Filename,DES_Size,DES_Complexity,DES_Design Smells,SCC_LOC,SCC_CLOC,SCC_COMPLEXITY,ARCH_Revisions,ARCH_Dependent Partners,ARCH_Depends on Partners,ARCH_Total Dependencies,ARCH_CoChange Partners,ARCH_Bug Commits,ARCH_Churn,DV8_LOC,DV8_TargetChangeCount,DV8_TargetChurn,DV8_ChangeCount,DV8_ChangeChurn,DV8_TotalIssues,DV8_Clique,DV8_Crossing,DV8_IsCenter,DV8_ModularityViolation,DV8_PackageCycle,DV8_UnhealthyInheritance,DV8_UnstableInterface,DV8_isUnstableInterface,DV8_PresentInIssues,SQ_Issues,SQ_CodeSmells,SQ_Bugs,SQ_Vulnerabilities,SQ_SecuritySpots,S101_Fat,S101_ClassTangles,S101_PkgTangles
tez-api.src.main.java.org.apache.tez.dag.api.DataSourceDescriptor_java,103,12,0,216,88,0,0,14,6,20,0,0,0,88,0,0,0,0,4,1,0,0,0,3,0,0,0,2,1,1,0,0,0,-1,1,1
tez-api.src.main.java.org.apache.tez.dag.api.EdgeManagerPluginContext_java,32,6,0,65,13,0,1,13,1,14,0,0,4,13,0,0,1,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
tez-api.src.main.java.org.apache.tez.dag.api.EdgeManagerPluginDescriptor_java,11,2,1,36,11,0,0,16,1,17,0,0,0,11,0,0,0,0,2,1,0,0,0,0,1,0,0,2,0,0,0,0,0,-1,1,1
tez-api.src.main.java.org.apache.tez.dag.api.EdgeManagerPluginOnDemand_java,185,25,2,360,90,0,1,11,7,18,0,1,30,90,1,30,1,30,4,0,0,0,0,2,2,0,0,2,7,7,0,0,0,0,0,0
tez-api.src.main.java.org.apache.tez.dag.api.EdgeManagerPlugin_java,70,9,0,155,29,0,0,3,3,6,0,0,0,29,0,0,0,0,2,0,0,0,0,1,1,0,0,2,7,7,0,0,0,0,0,0
tez-api.src.main.java.org.apache.tez.dag.api.EdgeProperty_java,133,13,0,252,108,2,0,28,4,32,0,0,0,112,0,0,1,64,2,1,0,0,0,0,1,0,0,2,0,0,0,0,0,-1,1,1
tez-api.src.main.java.org.apache.tez.dag.api.Edge_java,73,18,1,133,69,20,0,18,2,20,0,0,0,69,0,0,0,0,2,1,0,0,0,1,0,0,0,2,3,3,0,0,0,-1,1,1
tez-api.src.main.java.org.apache.tez.dag.api.EntityDescriptor_java,85,16,1,152,90,11,2,39,2,41,0,1,225,90,1,123,2,227,2,1,0,0,0,0,1,0,0,2,4,4,0,0,0,-1,1,1
tez-api.src.main.java.org.apache.tez.dag.api.GroupInputEdge_java,68,20,1,141,81,22,0,6,6,12,0,0,0,81,0,0,0,0,2,1,0,0,0,1,0,0,0,2,3,3,0,0,0,-1,1,1
tez-api.src.main.java.org.apache.tez.dag.api.HistoryLogLevel_java,0,0,0,64,35,4,2,4,1,5,0,2,64,35,1,63,2,126,5,1,0,0,1,1,0,2,0,4,0,0,0,0,0,0,0,0
tez-api.src.main.java.org.apache.tez.dag.api.InputDescriptor_java,14,3,1,43,17,0,0,33,2,35,0,0,0,17,0,0,0,0,3,1,0,0,0,1,1,0,0,3,0,0,0,0,0,-1,1,1
tez-api.src.main.java.org.apache.tez.dag.api.InputInitializerDescriptor_java,14,3,1,43,17,0,0,12,2,14,0,0,0,17,0,0,0,0,3,1,0,0,0,1,1,0,0,3,0,0,0,0,0,-1,1,1
